CENTLAT,CENTLON,NAME
40.5813869,-73.8827146,4th Mardiv Brooklyn
30.4052939,-81.6213328,4th Mardiv Jacksonville Maint
39.3900597,-76.2189592,Aberdeen Proving Ground
39.0329415,-76.9604124,Adelphi Laboratory
36.6943211,-76.1330525,Alf Fentress Chesapeake
27.895875,-98.0432713,Alf Orange
21.3609483,-157.9117716,Aliamanu Mil Res
39.548342,-78.8472505,Allegany Ballistics Lab
34.6689268,-99.2709317,Altus AFB
32.6607309,-117.1545331,Amphibious Base Coronado East
13.5893448,144.9088363,Andersen AFB
13.5080783,144.8657824,Andersen Administration Annex
13.5370109,144.9154363,Andersen Air Force Sta
13.4562849,144.8126286,Andersen Communications Annex 2
13.5867798,144.8623595,Andersen Petrol Product Storage Annex 1
13.5178542,144.8111349,Andersen Petrol Product Storage Annex 2
38.8051554,-76.8744889,Andrews AFB
33.6530773,-85.9691502,Anniston Army Dep
27.650204,-81.3438335,Arbuckle Airfield
38.8677546,-77.0792894,Arlington Service Ctr
30.3578659,-91.1407866,Armed Forces Reserve Ctr
41.2869437,-88.6795859,Army National Guard Marseilles Training Ctr
35.3647459,-86.079538,Arnold AFB
39.4584903,-74.588595,Atlantic City Iap
39.4452531,-74.5794425,Atlantic City Iap
27.6469254,-81.2770766,Avon Park Air Force Range
44.8084515,-68.8100347,Bangor
44.809857,-68.8411262,Bangor
44.8169345,-68.8257786,Bangor International Arprt
32.5003805,-93.5997358,Barksdale AFB
42.1693831,-72.7179848,Barnes Municipal Airport (Air Force National Guard)
32.4985369,-114.082822,Barry Goldwater Range
32.6404612,-113.0572265,Barry M Goldwater Air Force Range
47.9773241,-116.5615792,Bayview Idaho
39.1210805,-121.3955028,Beale AFB
21.3627312,-157.715622,Bellows Air Force Sta
64.3177675,-146.6470761,Birch Lake Recreation Annex
33.5703892,-86.7540093,Birmingham Arprt
38.4302508,-77.0864293,Blossom Point Research Faclty
38.4217253,-77.0924937,Blossom Pt
37.699034,-84.2174306,Blue Grass Army Dep
43.5514695,-116.2260524,Boise Air Terminal (Air Natinal Guard)
43.5571187,-116.2221365,Boise Air Terminal (Air Natinal Guard)
32.7116073,-105.9005545,Boles Wells Annex
32.7866135,-105.9481393,Boles Wells Annex
38.8401054,-77.016712,Bolling AFB
41.93507,-72.7012374,Bradley Iap
41.5424361,-81.6261491,Bratenahl
29.3429746,-98.4398496,Brooks AFB
39.7067166,-104.7578145,Buckley AFB
44.4744384,-73.1479217,Burlington International Arprt
34.3865305,-103.3175654,Cannon AFB
34.4090736,-103.3281567,Cannon AFB Site 2
29.8831991,-98.2183274,Canyon Lake Recreation Annex
29.888198,-98.218671,Canyon Lake Recreation Annex
28.482446,-80.5712638,Cape Canaveral Air Force Sta
41.7524976,-70.5381245,Cape Cod As
29.6757913,-85.3471396,Cape San Blas Tracking Annex D-3
39.8479724,-89.6675535,Capital Arprt
40.207592,-77.1691477,Carlisle Barracks
48.7245401,-97.9032746,Cavalier Air Force Sta
34.1387965,-119.1110958,Channel Islands Angs
32.8993892,-80.0505483,Charleston AFB
32.9127331,-79.9833913,Charleston Defense Fuel Support Pt
35.2163708,-80.9298239,Charlotte Douglas International Arprt
37.2853686,-76.6194143,Cheatham Annex
64.8283848,-146.9698572,Chena River Research Site
38.7404781,-104.8451016,Cheyenne Mountain Afs
41.162019,-104.8213058,Cheyenne Regional Arprt
41.1607046,-104.8134902,Cheyenne Regional Arprt
33.3115548,-115.3092218,Chocolate Mountains Aerial Gunnery Range
64.2884638,-149.1909633,Clear Air Force Sta
21.3285143,-158.051959,Coast Guard Air Station Barbers Pt
18.4954277,-67.1249266,Coast Guard Air Station Borinquen
27.7615551,-82.6266173,Coast Guard Air Station Clearwater
40.9760604,-124.1133235,Coast Guard Air Station Humboldt Bay
48.1406182,-123.4108049,Coast Guard Air Station Port Angeles
57.0530872,-135.3620486,Coast Guard Air Station Sitka
30.6975444,-88.2433983,Coast Guard Aviation Training Ctr
43.6448354,-70.2470728,Coast Guard Base South Portland
38.068597,-122.8000101,Coast Guard Communication Station Point Reyes
35.2574672,-75.5222598,Coast Guard Field Office Cape Hatteras
25.7711577,-80.1451133,Coast Guard Integrated Support Command
39.3790785,-74.423669,Coast Guard Station Atlantic City
39.1994143,-76.5683503,Coast Guard Station Baltimore
43.8433954,-69.641501,Coast Guard Station Boothbay Harbor
42.3681829,-71.0521169,Coast Guard Station Boston
28.4155753,-80.6209282,Coast Guard Station Cape Canaveral
46.2786529,-124.0497991,Coast Guard Station Cape Disappointment
38.9507469,-74.8619718,Coast Guard Station Cape May
32.7742113,-79.9436584,Coast Guard Station Charleston
45.3162904,-85.2459498,Coast Guard Station Charlevoix
42.0463787,-124.26818,Coast Guard Station Chetco River
43.346603,-124.3409678,Coast Guard Station Coos Bay
37.9749537,-75.8575678,Coast Guard Station Crisfield
40.9543161,-73.3958948,Coast Guard Station Eatons Neck
36.2612396,-76.1755183,Coast Guard Station Elizabeth City
40.6248021,-73.2588055,Coast Guard Station Fire Island
34.6974192,-76.6813851,Coast Guard Station Fort Macon
26.4589345,-81.9539987,Coast Guard Station Fort Myers
44.630097,-86.2444155,Coast Guard Station Frankfort
29.334077,-94.7678628,Coast Guard Station Galveston
43.0603609,-86.2385121,Coast Guard Station Grand Haven
29.2654296,-89.9564111,Coast Guard Station Grand Isle
30.7270448,-90.8269103,Coast Guard Station Grangeville
46.9039593,-124.1047345,Coast Guard Station Grays Harbor
35.2081786,-75.705028,Coast Guard Station Hatteras Inlet
42.774481,-86.2014157,Coast Guard Station Holland
21.3078163,-157.8750491,Coast Guard Station Honolulu
40.7666421,-124.2239238,Coast Guard Station Humboldt Bay
38.6101842,-75.0681776,Coast Guard Station Indian River Inlet
40.5905867,-73.5564394,Coast Guard Station Jones Beach Freeport
44.5278795,-67.6162753,Coast Guard Station Jonesport
27.035347,-80.114898,Coast Guard Station Jupiter Inlet
42.5898468,-87.8165427,Coast Guard Station Kenosha
55.3383251,-131.6124064,Coast Guard Station Ketchikan
57.7446751,-152.5403518,Coast Guard Station Kodiak
26.7889668,-80.0520779,Coast Guard Station Lake Worth Inlet
41.4708619,-82.1770143,Coast Guard Station Lorain
33.7249421,-118.2677894,Coast Guard Station Los Angeles-Long Bch
43.9529186,-86.4597024,Coast Guard Station Ludington
40.103065,-74.0378191,Coast Guard Station Manasquan Bch
44.2503461,-86.3416373,Coast Guard Station Manistee
41.5434874,-82.731059,Coast Guard Station Marblehead
